기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,U,관광특구,3001491,이태원 관광특구,CS100004,양식음식점,16215100484,393127,7797412107,8417688377,1216205777,1024658553,1545669395,1481308386,2529569996,4720889014,3696799363,2853715271,260855444,1698856546,1971279144,5588276974,3842117105,8616030379,6237675875,101667554,4674036479,5960186313,1932356479,1318375009,867084427,181995,211132,30135,25405,34307,35006,57142,116583,94549,86350,7466,42600,48878,123478,84355,217259,164755,3339,137660,154218,43205,29510,14077
20251,U,관광특구,3001491,이태원 관광특구,CS300014,신발,3876870610,23174,2605971815,1270898795,546461152,530757754,380022358,569292186,579438365,610109920,660788875,0,247372743,897959415,1678155960,1000265927,53116565,2148802454,1723620451,19879501,420884401,1304990573,828304656,1111379693,186984081,14188,8986,2605,3152,2535,2467,3429,4408,4578,0,1264,5295,8671,7472,472,14441,8703,195,3331,8088,6698,3913,921
20251,U,관광특구,3001491,이태원 관광특구,CS100006,패스트푸드점,3467064590,201265,1850797902,1616266688,370601776,297085754,332428242,376253959,474428171,866114944,750151744,855742902,194767489,540023142,450182321,941764299,484584437,2062234780,1169021731,43566303,1051296106,1243844775,433204222,297476680,161868428,114489,86776,22406,19249,21691,22627,28516,45870,40906,52307,15898,30715,26255,50407,25683,120481,73989,3245,63781,72308,25497,19030,10609
20251,U,관광특구,3001491,이태원 관광특구,CS100008,분식전문점,216523084,10799,124222770,92300314,13219671,15708268,24673376,27028168,43593287,60708660,31591654,24423628,1276401,22141462,21463041,76950887,70267665,102773818,98358801,1033248,61061481,80786656,30410130,20952998,6888105,5926,4873,629,986,1253,1054,2004,2999,1874,320,61,1693,1874,4662,2189,4184,6275,99,3457,3947,1395,1119,438
20251,U,관광특구,3001491,이태원 관광특구,CS300002,편의점,4591515085,717870,2813895325,1777619760,530636953,464938874,554848756,563907477,699563265,946052467,831567293,1071950199,637749109,541924014,583156910,904758805,851976048,2992625821,1497671997,23600039,1271228780,1795102730,689474130,424843083,286049054,431621,286249,81433,71787,86596,84446,107359,153722,132527,163117,106465,93579,96834,138797,119078,462610,246615,5272,226031,284019,90783,62289,40831
20251,U,관광특구,3001491,이태원 관광특구,CS100001,한식음식점,12169014643,281990,6408304960,5760709683,1263759383,939580701,1205541751,1210308293,1789114832,3114980339,2645729344,2652693532,632250191,1726129793,1029827680,3563533233,2564580214,6480477346,4548837696,45083800,3098472402,4454112134,1565579227,1087986340,777803437,154919,127071,31745,23982,30526,29289,39377,68153,58918,64425,14406,59081,28975,71479,43624,151604,115017,1394,78604,100625,36031,30095,19862
20251,U,관광특구,3001491,이태원 관광특구,CS300024,운동/경기용품,889110726,5021,616303574,272807152,232462042,109336016,99765034,86967071,87773411,98108777,174698375,0,118965056,285628052,313439726,163600289,7477603,627811670,261299056,1896943,35993696,364130764,242557655,89154324,155377344,3125,1896,859,474,579,612,601,901,995,0,564,1437,1774,1170,76,3420,1601,24,312,1604,1892,474,715
20251,U,관광특구,3001491,이태원 관광특구,CS300027,섬유제품,72964817,93,50933547,22031270,9863597,21922382,4250616,8599683,6297269,22031270,0,0,0,14896952,40137103,17930762,0,4349641,68615176,0,252932,22031271,21922382,16474019,12284213,82,11,22,16,16,24,4,11,0,0,0,28,46,19,0,16,77,0,12,11,16,31,23
20251,U,관광특구,3001491,이태원 관광특구,CS200006,일반의원,497245303,8612,421553853,75691450,85933646,96290243,86006503,18445288,134878173,75691450,0,0,128448192,125534982,173585858,69676271,0,221737043,275508260,1661641,72595089,183656428,100819804,78003320,60509021,7722,890,1641,1493,1613,836,2139,890,0,0,1917,2205,3255,1235,0,4233,4379,57,1384,2577,1391,1195,2008
20251,U,관광특구,3001491,이태원 관광특구,CS100010,커피-음료,4034258504,343510,2371597192,1662661312,464709334,400825345,435897751,458901170,611263592,898456637,764204675,88639912,230151403,1277164502,1277325590,950857530,210119567,1612646221,2114461692,15567391,1042892438,1476544440,601203445,417951494,172948704,218061,125449,38810,39524,41100,43704,54923,68209,57240,5507,35824,106731,108950,73667,12831,148439,172160,1373,89218,125992,51876,36905,15237
