기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20250101,00,11110515,13959.281199999999,481.4116,306.75639999999999,478.20170000000002,357.38339999999999,397.85539999999997,361.7199,474.93419999999998,493.79480000000001,609.35050000000001,638.83420000000001,392.3381,331.33080000000001,241.9975,557.00109999999995,699.52229999999997,419.1343,421.05959999999999,357.77659999999997,414.89440000000002,453.7294,628.78620000000001,683.59429999999998,727.13019999999995,618.35770000000002,572.45709999999997,473.07310000000001,344.26409999999998,1022.5939,
20250101,00,11110530,14230.559600000001,343.2194,152.5419,449.62990000000002,551.23109999999997,564.93709999999999,466.43110000000001,546.03819999999996,612.56089999999995,572.71600000000001,609.81079999999997,437.11349999999999,413.7595,251.52369999999999,541.6114,383.62599999999998,205.5137,451.09289999999999,715.36530000000005,589.51570000000004,578.35789999999997,608.66890000000001,622.16549999999995,724.41589999999997,641.88139999999999,553.91679999999997,499.11700000000002,270.39960000000002,873.39660000000003,
20250101,00,11110540,3409.7725999999998,58.5555,44.867400000000004,107.56010000000001,273.7226,103.74169999999999,96.430800000000005,131.6848,181.46770000000001,148.05889999999999,121.5834,122.09610000000001,71.975499999999997,81.355000000000004,177.5198,67.965299999999999,41.75,74.959500000000006,112.8583,119.3672,96.390199999999993,116.8875,144.36490000000001,134.90299999999999,147.89250000000001,150.14660000000001,132.28479999999999,93.324799999999996,256.05810000000002,
20250101,00,11110550,12816.3213,310.6309,240.85910000000001,377.75659999999999,417.16090000000003,338.81400000000002,330.59379999999999,459.85559999999998,408.13720000000001,529.63419999999996,584.67489999999998,506.53019999999998,406.30630000000002,285.48970000000003,709.16120000000001,422.21719999999999,300.7158,251.75659999999999,355.125,396.7792,412.99279999999999,455.2826,532.22410000000002,673.50030000000004,573.0154,617.79340000000002,455.72019999999998,381.3082,1082.2851000000001,
20250101,00,11110560,18662.7186,638.8311,462.08730000000003,484.2466,617.84590000000003,461.89339999999999,389.02839999999998,586.53980000000001,556.77639999999997,701.31029999999998,807.75220000000002,761.28719999999998,658.72979999999995,439.81349999999998,880.73069999999996,743.72529999999995,434.53570000000002,476.12009999999998,405.37049999999999,453.29379999999998,474.21780000000001,702.85720000000003,727.99270000000001,800.25340000000006,792.75609999999995,974.97720000000004,893.74860000000001,565.85440000000006,1770.1419000000001,
20250101,00,11110570,6225.7696999999998,178.7285,114.3031,191.32640000000001,173.99510000000001,144.4213,169.5427,173.8252,203.80510000000001,252.51410000000001,235.27109999999999,230.60990000000001,201.6129,134.92019999999999,339.59109999999998,253.84819999999999,160.46340000000001,247.74459999999999,186.4332,164.97130000000001,201.69999999999999,235.9365,230.64189999999999,355.90690000000001,310.36410000000001,227.05090000000001,277.94889999999998,189.05799999999999,439.23540000000003,
20250101,00,11110580,7751.7375000000002,363.7657,144.70679999999999,191.83019999999999,235.261,213.97219999999999,234.57060000000001,267.18090000000001,283.69709999999998,339.87909999999999,293.29860000000002,290.26929999999999,192.66849999999999,163.31270000000001,310.27499999999998,355.99299999999999,170.32740000000001,266.04239999999999,254.3372,279.11470000000003,246.26300000000001,298.9794,351.52910000000003,384.16469999999998,307.84649999999999,302.98140000000001,254.87090000000001,158.3314,596.26859999999999,
20250101,00,11110600,3972.1572999999999,73.082,51.587200000000003,101.90900000000001,163.5324,84.444000000000003,95.880600000000001,164.054,157.3845,168.488,158.76339999999999,182.173,93.837400000000002,65.291499999999999,237.8176,134.42330000000001,76.517799999999994,89.925600000000003,88.9756,119.45229999999999,106.9589,179.09790000000001,145.6371,177.32759999999999,188.93379999999999,202.35980000000001,137.7818,112.0736,414.44749999999999,
20250101,00,11110615,38138.877500000002,820.1468,258.40269999999998,1102.5975000000001,2604.1974,3178.2197999999999,2485.2031000000002,2164.9663999999998,1573.5907999999999,1903.8399999999999,1588.0603000000001,1373.9183,967.16489999999999,613.24519999999995,934.11000000000001,581.80139999999994,285.30590000000001,1037.8019999999999,3110.6332000000002,2867.2408,1680.4693,1294.1606999999999,925.89679999999998,1060.6985,891.2722,730.14440000000002,597.59349999999995,439.37329999999997,1068.8228999999999,
20250101,00,11110630,7252.6872999999996,72.5832,55.249899999999997,181.58670000000001,343.96449999999999,382.53469999999999,267.71429999999998,347.34449999999998,343.23129999999998,359.2149,327.25099999999998,371.45870000000002,271.04849999999999,200.8837,309.96640000000002,80.0608,83.700199999999995,139.56309999999999,398.2029,353.3818,257.56119999999999,300.97199999999998,200.78909999999999,196.23500000000001,245.16650000000001,236.84389999999999,271.00290000000001,161.26089999999999,493.91500000000002,
